place_id,status,name,address,location,latitude,longitude,directions,hours,publicOrPrivate,isAccessible,male,female,hasToiletPaper,hasSoap,hasChangingTable,unisex,isFree,needKey,isVerified,rating,user_ratings_total,type
toilet37.7749295-122.4194155,OPERATIONAL,"Franklin Square Restroom",37.7749295,"{""lat"":37.7749295,""lng"":-122.4194155}",-122.4194155,"","","24 hours","",1,1,1,1,1,0,1,1,0,0,3,0,toilet
ChIJTw5KKtF_j4ARZxO_eQ6ysBw,OPERATIONAL,"Mission Bay Library","960 4th St, San Francisco, CA 94158, United States","{""lat"":37.7754291,""lng"":-122.3931303}",37.7754291,-122.3931303,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.1,50,toilet
ChIJE5sbf7aAj4ARypE-AKq0n90,OPERATIONAL,"Oakland Public Library","125 14th St, Oakland, CA 94612, United States","{""lat"":37.8009514,""lng"":-122.2636808}",37.8009514,-122.2636808,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.4,99,toilet
ChIJhepVxEyHj4AR5aXbBgZsfyU,OPERATIONAL,"Public Restroom (Snow Park)","Lakeside Dr, Oakland, CA 94612, United States","{""lat"":37.8069422,""lng"":-122.2644854}",37.8069422,-122.2644854,,,,0,0,0,0,0,0,0,0,0,0,2.8,5,toilet
ChIJEX6V5fp9hYARlYsdPVOT4s4,CLOSED_TEMPORARILY,"Free Library Oakland","4160 Emerald St, Oakland, CA 94609, United States","{""lat"":37.8300365,""lng"":-122.25612}",37.8300365,-122.25612,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJ_2K_soB-hYARHmgdRdpFdyo,OPERATIONAL,"Berkeley Public Library - Tarea Hall Pittman South Branch","1901 Russell St, Berkeley, CA 94703, United States","{""lat"":37.856408,""lng"":-122.2710368}",37.856408,-122.2710368,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.7,29,toilet
ChIJs70hiqCAj4ARmKwi54Agmn4,OPERATIONAL,"Oakland Public Library: West Oakland Branch","1801 Adeline St, Oakland, CA 94607, United States","{""lat"":37.8128347,""lng"":-122.2851561}",37.8128347,-122.2851561,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.9,34,toilet
ChIJEwCZuX6HhYARHVJivmmz5PU,OPERATIONAL,"Public Restroom","210 Lincoln Blvd, San Francisco, CA 94129, United States","{""lat"":37.8018477,""lng"":-122.456873}",37.8018477,-122.456873,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJBUvIwz2HhYARiB874NqVsBY,OPERATIONAL,"Richmond/Senator Milton Marks Branch Library","351 9th Ave, San Francisco, CA 94118, United States","{""lat"":37.7818632,""lng"":-122.4681602}",37.7818632,-122.4681602,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.4,51,toilet
ChIJ97Vbe-4luIcRUCceQU59yhE,OPERATIONAL,"Cherryvale Public Library","329 E Main St, Cherryvale, KS 67335, United States","{""lat"":37.2681148,""lng"":-95.54804209999999}",37.2681148,-95.5480421,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,5,6,toilet
ChIJudFuBHqBhYARZLAiCDD670E,OPERATIONAL,"Public restroom","1333 Pacific Ave, San Francisco, CA 94109, United States","{""lat"":37.7954838,""lng"":-122.4170263}",37.7954838,-122.4170263,,,,0,0,0,0,0,0,0,0,0,0,0,0,toilet
ChIJw9rghTLjuocR7_LW7QpxsUQ,OPERATIONAL,"Wichita Public Library - Rockwell Branch","5939 E 9th St N, Wichita, KS 67208, United States","{""lat"":37.7006533,""lng"":-97.26731649999999}",37.7006533,-97.2673165,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.6,48,toilet
ChIJd2spnJuAhYARhkuvhLCp3us,OPERATIONAL,"San Francisco Public Library","100 Larkin St, San Francisco, CA 94102, United States","{""lat"":37.7790819,""lng"":-122.4157961}",37.7790819,-122.4157961,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.3,448,toilet
ChIJv8-4k46BhYARwtz-r91jEmk,OPERATIONAL,"Public Restroom","San Francisco, CA 94115, United States","{""lat"":37.7824321,""lng"":-122.43565}",37.7824321,-122.43565,,,,0,0,0,0,0,0,0,0,0,0,4.3,3,toilet
ChIJ3V3D9ol_j4AR4YFifqZDgh0,OPERATIONAL,"Public Restroom","62-98 Sgt John V Young St, San Francisco, CA 94112, United States","{""lat"":37.7251418,""lng"":-122.445567}",37.7251418,-122.445567,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4,1,toilet
ChIJx1bYEHh5j4ARTWMy84XOi8o,OPERATIONAL,"South San Francisco Public Library","840 W Orange Ave, South San Francisco, CA 94080, United States","{""lat"":37.6525195,""lng"":-122.4366963}",37.6525195,-122.4366963,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.4,47,toilet
ChIJ_8FHUKF3j4AR5vSJXCyJiAs,OPERATIONAL,"Millbrae Library","1 Library Ave, Millbrae, CA 94030, United States","{""lat"":37.60229169999999,""lng"":-122.3969833}",37.6022917,-122.3969833,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.2,53,toilet
ChIJ1fLw5HGej4ARrQaNChl0Atk,OPERATIONAL,"San Mateo Public Library","55 W 3rd Ave, San Mateo, CA 94402, United States","{""lat"":37.5622306,""lng"":-122.3268275}",37.5622306,-122.3268275,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.6,138,toilet
ChIJcy9sW6yjj4ARjJ-jcqUsICY,OPERATIONAL,"Redwood City Public Library","1044 Middlefield Rd, Redwood City, CA 94063, United States","{""lat"":37.4839356,""lng"":-122.2276813}",37.4839356,-122.2276813,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.7,119,toilet
ChIJiVyFzMywj4ARPLuAlYVzhmE,OPERATIONAL,"Mountain View Public Library","585 Franklin St, Mountain View, CA 94041, United States","{""lat"":37.3904093,""lng"":-122.0833326}",37.3904093,-122.0833326,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.8,285,toilet
ChIJxypCuym2j4ARNCSiu95Yv-w,OPERATIONAL,"Little Free Library","1235 Pecos Way, Sunnyvale, CA 94089, United States","{""lat"":37.3991185,""lng"":-121.9898465}",37.3991185,-121.9898465,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,2.8,4,toilet
ChIJndQ-LdTIj4ARBgBr-nlY0eY,OPERATIONAL,"Milpitas Library","160 N Main St, Milpitas, CA 95035, United States","{""lat"":37.43235689999999,""lng"":-121.907085}",37.4323569,-121.907085,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.7,254,toilet
ChIJ51xKCj1-j4ARckL3TxEItZo,OPERATIONAL,"Public restroom","36 Cunningham Pl, San Francisco, CA 94110, United States","{""lat"":37.759409,""lng"":-122.4223991}",37.759409,-122.4223991,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,5,2,toilet
ChIJU6bC00J-j4AREWM2VBvPUDc,OPERATIONAL,Safeway,"3350 Mission St, San Francisco, CA 94110, United States","{""lat"":37.7431945,""lng"":-122.42245}",37.7431945,-122.42245,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,3.7,1744,toilet
ChIJj5nGu3N-j4ARVFZ5HeQ2vlk,OPERATIONAL,Safeway,"5290 Diamond Heights Blvd, San Francisco, CA 94131, United States","{""lat"":37.7435707,""lng"":-122.4390064}",37.7435707,-122.4390064,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4,723,toilet
ChIJWegY_0jGwoARyXww2MuDp10,OPERATIONAL,"Little Tokyo Branch Library","203 S Los Angeles St, Los Angeles, CA 90012, United States","{""lat"":34.050195,""lng"":-118.2436446}",34.050195,-118.2436446,,"[object Object]",,0,0,0,0,0,0,0,0,0,0,4.3,35,toilet
